date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:34:39	18195/18195	---M--	200	added ('OK')	text/html	etag:%224713-4d8ec0b1a5840%22	http://norvig.com/quotations.html	/Users/afa/myFiles/tmp/%e8%a7%a3%e5%86%b3%e6%af%8f%e4%b8%aa%e6%95%b0%e7%8b%ac%e9%9a%be%e9%a2%98/norvig.com/quotations.html	(from http://norvig.com/index.html)
20:35:42	306/306	---M--	200	added ('OK')	text/html	etag:%22132-4134e35cf5680%22	http://norvig.com/vita.html	/Users/afa/myFiles/tmp/%e8%a7%a3%e5%86%b3%e6%af%8f%e4%b8%aa%e6%95%b0%e7%8b%ac%e9%9a%be%e9%a2%98/norvig.com/vita.html	(from http://norvig.com/index.html)
20:35:43	10532/10532	---M--	200	added ('OK')	text/html	etag:%222924-500748b5eb780%22	http://norvig.com/bio.html	/Users/afa/myFiles/tmp/%e8%a7%a3%e5%86%b3%e6%af%8f%e4%b8%aa%e6%95%b0%e7%8b%ac%e9%9a%be%e9%a2%98/norvig.com/bio.html	(from http://norvig.com/index.html)
20:35:49	2347/2347	---M--	200	added ('OK')	text/html	etag:%2292b-4bb88b4bbde40%22	http://norvig.com/elsewhere.html	/Users/afa/myFiles/tmp/%e8%a7%a3%e5%86%b3%e6%af%8f%e4%b8%aa%e6%95%b0%e7%8b%ac%e9%9a%be%e9%a2%98/norvig.com/elsewhere.html	(from http://norvig.com/index.html)
20:36:21	230/230	---M--	301	error ('Moved%20Permanently')	text/html	date:Tue,%2015%20Aug%202017%2012:36:21%20GMT	http://norvig.com/photos/	/Users/afa/myFiles/tmp/%e8%a7%a3%e5%86%b3%e6%af%8f%e4%b8%aa%e6%95%b0%e7%8b%ac%e9%9a%be%e9%a2%98/norvig.com/photos/index.html	(from http://norvig.com/index.html)
20:36:41	1728/1728	---M--	200	added ('OK')	text/html	etag:%226c0-4005bd10a9c00%22	http://norvig.com/lisp_talk_final.htm	/Users/afa/myFiles/tmp/%e8%a7%a3%e5%86%b3%e6%af%8f%e4%b8%aa%e6%95%b0%e7%8b%ac%e9%9a%be%e9%a2%98/norvig.com/lisp_talk_final.html	(from http://norvig.com/index.html)
20:37:17	393432/393432	---M--	200	added ('OK')	application/postscript	etag:%22600d8-320348d692b40%22	http://norvig.com/luv-slides.ps	/Users/afa/myFiles/tmp/%e8%a7%a3%e5%86%b3%e6%af%8f%e4%b8%aa%e6%95%b0%e7%8b%ac%e9%9a%be%e9%a2%98/norvig.com/luv-slides.ps	(from http://norvig.com/index.html)
20:37:44	6928/6928	---M--	200	added ('OK')	text/html	date:Tue,%2015%20Aug%202017%2012:36:40%20GMT	http://norvig.com/paip/	/Users/afa/myFiles/tmp/%e8%a7%a3%e5%86%b3%e6%af%8f%e4%b8%aa%e6%95%b0%e7%8b%ac%e9%9a%be%e9%a2%98/norvig.com/paip/index.html	(from http://norvig.com/index.html)
20:37:49	8654/8654	---M--	200	added ('OK')	text/html	etag:%2221ce-5382c97f9cbc0%22	http://norvig.com/SET.html	/Users/afa/myFiles/tmp/%e8%a7%a3%e5%86%b3%e6%af%8f%e4%b8%aa%e6%95%b0%e7%8b%ac%e9%9a%be%e9%a2%98/norvig.com/SET.html	(from http://norvig.com/index.html)
20:37:55	25549/25549	---M--	200	added ('OK')	text/html	etag:%2263cd-549b474d64ff6%22	http://norvig.com/ibol.html	/Users/afa/myFiles/tmp/%e8%a7%a3%e5%86%b3%e6%af%8f%e4%b8%aa%e6%95%b0%e7%8b%ac%e9%9a%be%e9%a2%98/norvig.com/ibol.html	(from http://norvig.com/index.html)
